Dataset,Model,Method,Component,USFG,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,Degenerate,p_FDR,Sig_FDR
TAIWAN,M5,SHAP,inter,-0.22741723297111047,-0.3525488404527417,-0.112854536177618,True,6.322799562368199e-05,0.14615199999999995,500,500,False,7.072962222310189e-05,True
TAIWAN,M5,LIME,epistemic,-0.4062525860677344,-0.5336943764985758,-0.28892656862322985,True,6.331327370318295e-13,0.262792,500,500,False,7.331010639315921e-13,True
TAIWAN,M5,LIME,aleatoric,-1.609724275129699,-1.717962077355544,-1.5017324281615538,True,3.7645418753553705e-122,0.858656,500,500,False,1.035249015722727e-121,True
TAIWAN,M5,LIME,intra,-0.3474208293993765,-0.4664699788824241,-0.23192444775618848,True,8.098155637220393e-11,0.23742399999999997,500,500,False,9.215142621664586e-11,True
TAIWAN,M5,LIME,inter,-0.1970923070086858,-0.3184439322401274,-0.0777336307747241,True,0.00041580943441386843,0.12895999999999996,500,500,False,0.0004426358495373438,True
GMSC,M2,SHAP,epistemic,,,,False,,,2000,2000,True,,False
GMSC,M2,SHAP,aleatoric,-2.0833007731270623,-2.2084442448092867,-1.955564421739935,True,9.858685496177292e-163,0.993144,500,500,False,6.506732427477013e-161,True
GMSC,M2,SHAP,intra,,,,False,,,2000,2000,True,,False
GMSC,M2,SHAP,inter,,,,False,,,2000,2000,True,,False
GMSC,M2,LIME,epistemic,,,,False,,,2000,2000,True,,False
GMSC,M2,LIME,aleatoric,-1.8222203469993086,-1.952998345837118,-1.6963025015499211,True,5.863050618054831e-161,0.956728,500,500,False,7.739226815832376e-160,True
GMSC,M2,LIME,intra,,,,False,,,2000,2000,True,,False
GMSC,M2,LIME,inter,,,,False,,,2000,2000,True,,False
GMSC,M3,SHAP,epistemic,-1.6620197202282647,-1.7810348242128093,-1.5462163250958705,True,1.0570909953747012e-147,0.94556,500,500,False,6.976800569473027e-147,True
GMSC,M3,SHAP,aleatoric,-2.078994787519639,-2.2113129046704385,-1.958933705632356,True,1.664044929601103e-161,0.989344,500,500,False,2.74567413384182e-160,True
GMSC,M3,SHAP,intra,-1.6620197202282647,-1.7810348242128093,-1.5462163250958705,True,1.0570909953747012e-147,0.94556,500,500,False,6.976800569473027e-147,True
GMSC,M3,SHAP,inter,,,,False,,,2000,2000,True,,False
GMSC,M3,LIME,epistemic,-1.411459154509758,-1.5307948270417704,-1.2852980043473576,True,1.943287251102489e-113,0.786764,500,500,False,4.137321244282719e-113,True
GMSC,M3,LIME,aleatoric,-1.8186983507946655,-1.955667208187233,-1.692186294787842,True,2.417894211034558e-159,0.951376,500,500,False,1.9947627241035105e-158,True
GMSC,M3,LIME,intra,-1.411459154509758,-1.5307948270417704,-1.2852980043473576,True,1.943287251102489e-113,0.786764,500,500,False,4.137321244282719e-113,True
GMSC,M3,LIME,inter,,,,False,,,2000,2000,True,,False
GMSC,M4,SHAP,epistemic,-1.4096165482301515,-1.52068938498681,-1.2947678457092617,True,3.728788332467565e-123,0.862236,500,500,False,1.0700001301863447e-122,True
GMSC,M4,SHAP,aleatoric,-2.1268287820708607,-2.2479172421477256,-2.0105516316581764,True,3.9488246747811235e-162,0.99128,500,500,False,1.3031121426777707e-160,True
GMSC,M4,SHAP,intra,,,,False,,,2000,2000,True,,False
GMSC,M4,SHAP,inter,-1.4096165482301515,-1.52068938498681,-1.2947678457092617,True,3.728788332467565e-123,0.862236,500,500,False,1.0700001301863447e-122,True
GMSC,M4,LIME,epistemic,-1.1603454733739227,-1.2750985941870048,-1.0387095771086616,True,5.781435505062639e-90,0.6970959999999999,500,500,False,1.1562871010125277e-89,True
GMSC,M4,LIME,aleatoric,-1.832507735300621,-1.9574861472100809,-1.7144397679196364,True,1.1102512726537165e-160,0.955172,500,500,False,1.221276399919088e-159,True
GMSC,M4,LIME,intra,,,,False,,,2000,2000,True,,False
GMSC,M4,LIME,inter,-1.1603454733739227,-1.2750985941870048,-1.0387095771086616,True,5.781435505062639e-90,0.6970959999999999,500,500,False,1.1562871010125277e-89,True
GMSC,M5,SHAP,epistemic,-1.1294663158548974,-1.2466233681600205,-1.0014456802936265,True,9.317219929711485e-87,0.721256,500,500,False,1.8086368098851704e-86,True
GMSC,M5,SHAP,aleatoric,-2.1148364473849166,-2.2330482897908004,-1.9962910561430567,True,6.354884440054977e-162,0.99064,500,500,False,1.3980745768120951e-160,True
GMSC,M5,SHAP,intra,-1.4240796567813212,-1.5463618627243818,-1.291583466257833,True,8.519744031070971e-114,0.828272,500,500,False,1.9389762277609798e-113,True
GMSC,M5,SHAP,inter,-0.09777169468245368,-0.23184363936192653,0.02591216493125671,False,0.0007316608627044267,0.12339199999999995,500,500,False,0.0007665018561665423,True
GMSC,M5,LIME,epistemic,-0.9196584230796506,-1.046501017897073,-0.7930129723147178,True,7.188973202048757e-55,0.5355920000000001,500,500,False,1.1296957888933762e-54,True
GMSC,M5,LIME,aleatoric,-1.8199399351794654,-1.937193121081902,-1.7076041079758568,True,2.4058149568535235e-159,0.94992,500,500,False,1.9947627241035105e-158,True
GMSC,M5,LIME,intra,-1.2101585807467248,-1.3352824316807475,-1.0737955014075342,True,5.527762563217753e-85,0.678296,500,500,False,1.0423780833496334e-84,True
GMSC,M5,LIME,inter,-0.009458751738768163,-0.1392816139165925,0.11522559235099034,False,0.591239316526089,0.018664000000000014,500,500,False,0.591239316526089,False
