Dataset,Model,Method,Group,N,K,rho_epistemic,p_epistemic,rho_aleatoric,p_aleatoric,rho_intra,p_intra,rho_inter,p_inter,p_epistemic_FDR,Sig_epistemic_FDR
TAIWAN,M5,LIME,Majority,1000,7,0.13308399708399707,2.4212762695090516e-05,0.5148383268383269,8.902895370963148e-69,0.13235452835452838,2.684907466332706e-05,0.07230292830292831,0.022221935402704156,,
GMSC,M2,SHAP,All,2000,3,,,0.8662109107358543,0.0,,,,,,False
GMSC,M2,SHAP,Minority,1000,3,,,0.9272165264128189,0.0,,,,,,
GMSC,M2,SHAP,Majority,1000,3,,,0.6249060552189046,2.0181941028454974e-109,,,,,,
GMSC,M2,LIME,All,2000,3,,,0.7363609366197893,0.0,,,,,,False
GMSC,M2,LIME,Minority,1000,3,,,0.8591231731147999,1.3297544883889474e-292,,,,,,
GMSC,M2,LIME,Majority,1000,3,,,0.37759076833235794,3.073260128037174e-35,,,,,,
GMSC,M3,SHAP,All,2000,3,0.7233913660839352,0.0,0.8660115536606171,0.0,0.7233913660839352,0.0,,,0.0,True
GMSC,M3,SHAP,Minority,1000,3,0.6458351785227961,4.186285075824733e-119,0.9290222795506852,0.0,0.6458351785227961,4.186285075824733e-119,,,,
GMSC,M3,SHAP,Majority,1000,3,0.5296814792713709,2.073463288730097e-73,0.6234649229519079,8.804408474043072e-109,0.5296814792713709,2.073463288730097e-73,,,,
GMSC,M3,LIME,All,2000,3,0.6045604822909363,1.269099605932527e-199,0.7368095431135644,0.0,0.6045604822909363,1.269099605932527e-199,,,7.614597635595162e-199,True
GMSC,M3,LIME,Minority,1000,3,0.5883809873865824,3.4785173011277395e-94,0.8602381885104012,3.396847952602087e-294,0.5883809873865824,3.4785173011277395e-94,,,,
GMSC,M3,LIME,Majority,1000,3,0.34658580902150327,1.3372279226012422e-29,0.38010786077358405,1.0050199107309779e-35,0.34658580902150327,1.3372279226012422e-29,,,,
GMSC,M4,SHAP,All,2000,3,0.6295387819221725,3.012167343895308e-221,0.8780981300268096,0.0,,,0.6295387819221725,3.012167343895308e-221,2.7109506095057775e-220,True
GMSC,M4,SHAP,Minority,1000,3,0.5309508857294437,8.123104517014591e-74,0.9315246579083799,0.0,,,0.5309508857294437,8.123104517014591e-74,,
GMSC,M4,SHAP,Majority,1000,3,0.4534710496541924,7.141904459434521e-52,0.6595198223191617,7.371232514707085e-126,,,0.4534710496541924,7.141904459434521e-52,,
GMSC,M4,LIME,All,2000,3,0.5124355739233681,2.4128307392636175e-134,0.7409154906877725,0.0,,,0.5124355739233681,2.4128307392636175e-134,1.085773832668628e-133,True
GMSC,M4,LIME,Minority,1000,3,0.47504365431660983,1.9913998213659666e-57,0.8672603575178435,1.4877444296238285e-304,,,0.47504365431660983,1.9913998213659666e-57,,
GMSC,M4,LIME,Majority,1000,3,0.25601552632668084,1.981049706731789e-16,0.385847836356448,7.571417426688632e-37,,,0.25601552632668084,1.981049706731789e-16,,
GMSC,M5,SHAP,All,2000,3,0.5016318110688116,6.169059897418856e-128,0.8767631836977647,0.0,0.618182157659228,3.5716169700292538e-211,0.09481376843107754,2.1653568633297076e-05,2.220861563070788e-127,True
GMSC,M5,SHAP,Minority,1000,3,0.3955124465643576,8.653905531919368e-39,0.9313752381106215,0.0,0.5360528717426168,1.8048493701192087e-75,-0.0008466968746378721,0.9786659741485187,,
GMSC,M5,SHAP,Majority,1000,3,0.37299897927863596,2.3025231959330793e-34,0.6475666006906189,6.116194878477505e-120,0.44521973349886634,7.504837726864664e-50,0.13825088002120575,1.1466445974300827e-05,,
GMSC,M5,LIME,All,2000,3,0.3925390011215195,1.134913299587102e-74,0.7412286810188613,0.0,0.5153391032672657,4.1759998134275025e-136,0.018402875340736983,0.4107601114549912,1.7023699493806531e-74,True
GMSC,M5,LIME,Minority,1000,3,0.3478569661190417,8.074443609596293e-30,0.8663173010510259,3.9602957383444194e-303,0.49526244419835325,5.246193155726607e-63,-0.03148589982652422,0.3198953874410824,,
GMSC,M5,LIME,Majority,1000,3,0.22077566273113006,1.6638101650021192e-12,0.38649382579182623,5.641395149598491e-37,0.2873654832148323,1.8235680304206413e-20,0.036874481264582926,0.24401443209912865,,
