DGP,Intercept,Strength,Seed,BaseRate,FracHit,Metric,USFG,USFG_gap_raw
logistic,-3.6,0.6,11,0.13769533256647046,0.2928,decileZ(Comp),0.061277539137205794,0.061277539137205794
logistic,-3.6,0.6,11,0.13769533256647046,0.2928,decileZ(NRC),0.41757552693850675,0.41757552693850675
logistic,-3.6,0.6,11,0.13769533256647046,0.2928,logit-frac,0.25866381103006686,0.5670808541610612
logistic,-3.6,0.8,0,0.14527419832483984,0.3932,Comp_prob,0.28703514906275857,0.061254040524633874
logistic,-3.6,0.8,0,0.14527419832483984,0.3932,NRC,0.19288067055200753,0.5881360250521184
logistic,-3.6,0.8,0,0.14527419832483984,0.3932,decileZ(Comp),0.14490511742713102,0.14490511742713102
logistic,-3.6,0.8,0,0.14527419832483984,0.3932,decileZ(NRC),0.47018205942295355,0.47018205942295355
logistic,-3.6,0.8,0,0.14527419832483984,0.3932,logit-frac,0.16479255705906215,0.4288238385068006
logistic,-3.6,0.8,1,0.0750966182781637,0.3804,Comp_prob,0.11941861126503593,0.013413816868762373
logistic,-3.6,0.8,1,0.0750966182781637,0.3804,NRC,0.2854346917635247,0.3735602078537971
logistic,-3.6,0.8,1,0.0750966182781637,0.3804,decileZ(Comp),-0.045688809047748115,-0.045688809047748115
logistic,-3.6,0.8,1,0.0750966182781637,0.3804,decileZ(NRC),0.4572762367769746,0.4572762367769746
logistic,-3.6,0.8,1,0.0750966182781637,0.3804,logit-frac,0.0883908860755723,0.21247502858050726
logistic,-3.6,0.8,2,0.1446819215078008,0.4004,Comp_prob,0.2718519566850469,0.05673021243903002
logistic,-3.6,0.8,2,0.1446819215078008,0.4004,NRC,0.10196954110989191,0.26881881587659207
logistic,-3.6,0.8,2,0.1446819215078008,0.4004,decileZ(Comp),0.17801023141727915,0.17801023141727915
logistic,-3.6,0.8,2,0.1446819215078008,0.4004,decileZ(NRC),0.405968835084751,0.405968835084751
logistic,-3.6,0.8,2,0.1446819215078008,0.4004,logit-frac,0.18752409465834013,0.43980632324787877
logistic,-3.6,0.8,3,0.07371384110171925,0.4016,Comp_prob,0.2441859167496541,0.025187583645906658
