Dataset,Variant,Method,Model,K,Comp,Suff,CompRandom,SuffRandom,Comp_beats_random
HOME CREDIT,norm,LIME,M4,52,0.8685523897101481,0.06826567878051525,0.42538271196695665,0.48022569948739063,True
HOME CREDIT,norm,LIME,M5,10,0.6195790017924663,0.41365413359679687,0.06997429907693932,0.9383517431560904,True
HOME CREDIT,norm,LIME,M5,21,0.7052082944913406,0.3634376789952744,0.1521359898564271,0.8513996896450408,True
HOME CREDIT,norm,LIME,M5,31,0.753449365184853,0.29763754761736194,0.265423804333036,0.7432694561650699,True
HOME CREDIT,norm,LIME,M5,42,0.7581012174740999,0.2531354797430779,0.3720692987426988,0.6413339096486836,True
HOME CREDIT,norm,LIME,M5,52,0.8232744221621381,0.17597946210238313,0.4887493200285733,0.5369770569752214,True
TAIWAN,prob,SHAP,M1,2,0.05971390846034046,0.01847659567699884,0.006741605969896227,0.06132027506852319,True
TAIWAN,prob,SHAP,M1,5,0.06966396521369461,-0.00378808287132415,0.014494389000548835,0.05260940191749796,True
TAIWAN,prob,SHAP,M1,7,0.06960543286078609,-0.011873323638981675,0.01918216662280611,0.04507396931307449,True
TAIWAN,prob,SHAP,M1,9,0.06550161596923135,-0.013324272363999625,0.02351161395821873,0.03716591540101217,True
TAIWAN,prob,SHAP,M1,12,0.06868725299718789,-0.005978009315324016,0.03292951017173073,0.026674199592564035,True
TAIWAN,prob,SHAP,M2,2,0.04821733086928725,-0.011845046788919717,-0.0007530926589581668,0.04665919750620287,True
TAIWAN,prob,SHAP,M2,5,0.05816852953005582,-0.01915719018364325,0.0014184493047634987,0.033705272279090426,True
TAIWAN,prob,SHAP,M2,7,0.061043615833390505,-0.01634471603156999,0.0034277465221994137,0.02637910786987959,True
TAIWAN,prob,SHAP,M2,9,0.058495464446023104,-0.01297228663181886,0.007699089310520321,0.019391154339336934,True
TAIWAN,prob,SHAP,M2,12,0.056487617915961894,-0.006844000958837569,0.01498924760759428,0.010407652312897881,True
TAIWAN,prob,SHAP,M3,2,0.04821733086928725,-0.011845046788919717,-0.0007530926589581668,0.04665919750620287,True
TAIWAN,prob,SHAP,M3,5,0.05816852953005582,-0.01915719018364325,0.0014184493047634987,0.033705272279090426,True
TAIWAN,prob,SHAP,M3,7,0.061043615833390505,-0.01634471603156999,0.0034277465221994137,0.02637910786987959,True
TAIWAN,prob,SHAP,M3,9,0.058495464446023104,-0.01297228663181886,0.007699089310520321,0.019391154339336934,True
TAIWAN,prob,SHAP,M3,12,0.056487617915961894,-0.006844000958837569,0.01498924760759428,0.010407652312897881,True
TAIWAN,prob,SHAP,M4,2,0.04805815408518538,-0.010676921585574746,-0.0008723637839315188,0.045953367777088715,True
TAIWAN,prob,SHAP,M4,5,0.05608890159474686,-0.018069200937636195,0.0008387627192958575,0.03289572668773326,True
TAIWAN,prob,SHAP,M4,7,0.05965976371383294,-0.01539397755265236,0.0028769524497747625,0.025372474905390106,True
TAIWAN,prob,SHAP,M4,9,0.058287556865252554,-0.013344453800003975,0.006767779625124604,0.018701386098109653,True
