Dataset,Model,Method,Variant,N,N_valid,rho_raw,p_raw,rho_partial,p_partial,rho_partial_linear,p_partial_linear,rho_aleatoric,p_aleatoric,shrinkage_pct,Degenerate,p_partial_FDR,Sig_partial_FDR,p_partial_linear_FDR,Sig_partial_linear_FDR
TAIWAN,M5,LIME,logit,2000,2000,0.1835506103876526,1.2965791537580454e-16,-0.007793200948300236,0.7260913028990337,-0.003512231347513208,0.8752962731033389,0.6667823491955873,1.9481265231533433e-257,95.75419502455412,False,0.8713095634788404,False,0.8752962731033388,False
TAIWAN,M5,SHAP,norm,2000,1943,0.03253599180305539,0.1516790171947689,0.02590199203968844,0.24525158280573142,0.004059774514688248,0.8581008593015639,0.10293847142316362,5.4510143880867905e-06,20.38972656350365,False,0.4272124345648225,False,0.8752962731033388,False
TAIWAN,M5,LIME,norm,2000,1943,0.04949057084191808,0.029150057869371578,0.025409233922405128,0.2615794735088304,0.004332232730654521,0.8486890537784147,0.16397539929830532,3.526981995954048e-13,48.65843434385337,False,0.44141536154615124,False,0.8752962731033388,False
GMSC,M2,SHAP,prob,2000,2000,,,,,,,0.8662109107358543,0.0,,True,,False,,False
GMSC,M2,LIME,prob,2000,2000,,,,,,,0.7363609366197893,0.0,,True,,False,,False
GMSC,M2,SHAP,logit,2000,2000,,,,,,,0.8340311164995492,0.0,,True,,False,,False
GMSC,M2,LIME,logit,2000,2000,,,,,,,0.7187614884525083,0.0,,True,,False,,False
GMSC,M2,SHAP,norm,2000,1816,,,,,,,0.3692780431053983,9.008415358727341e-60,,True,,False,,False
GMSC,M2,LIME,norm,2000,1816,,,,,,,0.5340706626655739,1.872417961150173e-134,,True,,False,,False
GMSC,M3,SHAP,prob,2000,2000,0.7233913660839352,0.0,0.029860157965039495,0.15728090636454514,-0.014193410388808453,0.5259340493863134,0.8660115536606171,0.0,95.87219873431904,False,0.3692682149428451,False,0.7675794234286736,False
GMSC,M3,LIME,prob,2000,2000,0.6045604822909363,1.269099605932527e-199,0.07659476214869053,0.0003332222592469177,-0.03946808534504391,0.07769684265270058,0.7368095431135644,0.0,87.33050465712869,False,0.002999000333222259,True,0.19979188110694435,False
GMSC,M3,SHAP,logit,2000,2000,0.7039701297829162,3.1515751087001006e-299,0.03017548204387051,0.17560813062312564,0.014702933970232633,0.5111840530033114,0.8331405321108514,0.0,95.71352806500813,False,0.3793135621459514,False,0.7667760795049671,False
GMSC,M3,LIME,logit,2000,2000,0.6062560631811617,4.9680919982493526e-201,0.09472022668005667,0.0003332222592469177,0.00561486619270858,0.8019017703660464,0.7189721722118073,0.0,84.37620133924297,False,0.002999000333222259,True,0.8752962731033388,False
GMSC,M3,SHAP,norm,2000,1816,0.2931074314699803,2.625208694074312e-37,-0.0289832443952005,0.22125958013995334,-0.023460981887706542,0.3178175467964916,0.36872054050505726,1.3896694395155972e-59,90.11173334983526,False,0.4120005975019821,False,0.6129338402503767,False
GMSC,M3,LIME,norm,2000,1816,0.4470385349336895,6.323483757470781e-90,0.046987606421546854,0.07364211929356881,0.008093153618227251,0.7304257464668531,0.5342455040405231,1.4767638386080165e-134,89.48913734505759,False,0.19883372209263578,False,0.8467524135099951,False
GMSC,M4,SHAP,prob,2000,2000,0.6295387819221725,3.012167343895308e-221,-0.026014560532906513,0.2332555814728424,-0.06785239770346421,0.0024030159912449946,0.8780981300268096,0.0,95.8676794377185,False,0.4198600466511163,False,0.011796623957020884,True
