Dataset,Model,Method,Component,USFG_decileZ_NRC,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,n_valid,Degenerate,p_FDR,Sig_FDR,floor,MDE,abs_USFG,decision_rule_NB6,Verdict,above_floor,above_MDE
TAIWAN,M3,LIME,inter,,,,False,,,1944,1944,1944,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
TAIWAN,M4,SHAP,epistemic,-0.0435726218817705,-0.1720740858388989,0.075180785876579,False,0.4972841921831215,0.0250793531308417,489,489,1954,False,0.5470126114014336,False,0.045795977204345806,,0.0435726218817705,False,below detection floor - not distinguishable from zero,0.0,0.0
TAIWAN,M4,SHAP,aleatoric,0.0119412118869709,-0.1193822813415812,0.1379108142676324,False,7.501648502631682e-07,0.182790302817402,489,489,1954,False,3.536491436954936e-06,True,0.045795977204345806,,0.0119412118869709,False,below detection floor - not distinguishable from zero,0.0,0.0
TAIWAN,M4,SHAP,intra,,,,False,,,1954,1954,1954,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
TAIWAN,M4,SHAP,inter,-0.0435726218817705,-0.1720740858388989,0.075180785876579,False,0.4972841921831215,0.0250793531308417,489,489,1954,False,0.5470126114014336,False,0.045795977204345806,,0.0435726218817705,False,below detection floor - not distinguishable from zero,0.0,0.0
TAIWAN,M4,LIME,epistemic,-0.0539349165709635,-0.1888145876505788,0.0639121471239019,False,0.4507515300689939,0.027864553928764,489,489,1954,False,0.5129241549060966,False,0.045795977204345806,,0.0539349165709635,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M4,LIME,aleatoric,0.0249588593940015,-0.1067484981199335,0.1523805733908053,False,1.7050534187230868e-05,0.158869359027438,489,489,1954,False,5.922817138722302e-05,True,0.045795977204345806,,0.0249588593940015,False,below detection floor - not distinguishable from zero,0.0,0.0
TAIWAN,M4,LIME,intra,,,,False,,,1954,1954,1954,True,,False,0.045795977204345806,,,False,N/A - component is structurally zero,,
TAIWAN,M4,LIME,inter,-0.0539349165709635,-0.1888145876505788,0.0639121471239019,False,0.4507515300689939,0.027864553928764,489,489,1954,False,0.5129241549060966,False,0.045795977204345806,,0.0539349165709635,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M5,SHAP,epistemic,-0.1056193326478825,-0.2307681466020446,0.0111411925965076,False,0.3008736526649196,0.0383410387982862,486,486,1943,False,0.367734464368235,False,0.045795977204345806,,0.1056193326478825,False,above floor but below MDE - inconclusive,1.0,0.0
